match_id,date,team_a,team_b,team_a_goals,team_b_goals,team_a_elo_pre,team_b_elo_pre,team_a_goals_for_last_10,team_a_goals_against_last_10,team_b_goals_for_last_10,team_b_goals_against_last_10,team_a_points_per_game_last_10,team_b_points_per_game_last_10,team_a_matches_available,team_b_matches_available
32,1884-02-23,Northern Ireland,England,1,8,1464.42,1575.62,0.3333,6.5,3.9,2.7,0.1667,1.2,6,10
33,1884-03-15,Scotland,England,1,0,1826.86,1596.33,4.5,1.0,4.3,2.3,3.0,1.5,10,10
34,1884-03-17,Wales,England,0,4,1533.1,1583.75,2.2,2.8,4.0,2.2,1.3,1.2,10,10
35,1884-03-29,Scotland,Wales,4,1,1839.44,1507.44,4.3,1.0,2.1,2.7,3.0,1.3,10,10
36,1885-02-28,England,Northern Ireland,4,0,1609.41,1443.71,4.4,2.1,0.4286,6.7143,1.5,0.1429,10,7
37,1885-03-14,England,Wales,1,1,1626.1,1499.71,4.7,1.5,2.1,3.1,1.8,1.0,10,10
38,1885-03-14,Scotland,Northern Ireland,8,2,1847.17,1427.02,4.2,0.7,0.375,6.375,3.0,0.125,10,8
39,1885-03-21,England,Scotland,1,1,1615.64,1852.08,3.5,1.6,4.5,0.8,1.6,3.0,10,10
40,1885-03-23,Wales,Scotland,1,8,1510.17,1834.32,2.1,2.7,4.0,0.8,1.1,2.8,10,10
41,1885-04-11,Northern Ireland,Wales,2,8,1422.11,1502.13,0.5556,6.5556,1.5,3.4,0.1111,0.8,9,10
42,1885-11-28,USA,Canada,0,1,1600.0,1600.0,1.35,1.35,1.35,1.35,1.5,1.5,0,0
43,1886-02-27,Wales,Northern Ireland,5,0,1525.34,1398.9,1.8,3.3,0.7,6.7,0.8,0.1,10,10
44,1886-03-13,Northern Ireland,England,1,6,1379.36,1633.4,0.7,5.9,3.5,1.2,0.1,1.7,10,10
45,1886-03-20,Northern Ireland,Scotland,2,7,1368.08,1842.36,0.7,5.8,4.3,0.8,0.1,2.8,10,10
46,1886-03-27,Scotland,England,1,1,1846.04,1644.68,4.5,0.9,3.8,0.8,2.8,2.0,10,10
47,1886-03-29,Wales,England,1,3,1544.88,1660.35,2.3,2.8,3.4,0.9,1.1,1.8,10,10
48,1886-04-10,Scotland,Wales,4,1,1830.37,1524.5,4.1,1.0,2.4,2.6,2.6,1.1,10,10
49,1886-11-25,USA,Canada,3,2,1570.0,1630.0,0.0,1.0,1.0,0.0,0.0,3.0,1,1
50,1887-02-05,England,Northern Ireland,7,0,1680.73,1364.4,3.0,1.0,0.9,5.8,1.8,0.1,10,10
51,1887-02-19,Scotland,Northern Ireland,4,1,1839.17,1356.04,4.2,0.9,0.8,6.4,2.6,0.0,10,10
52,1887-02-26,England,Wales,4,0,1689.09,1515.7,3.5,0.7,2.5,2.7,2.1,1.1,10,10
53,1887-03-12,Northern Ireland,Wales,4,1,1352.54,1499.54,0.9,6.3,2.4,3.0,0.0,1.0,10,10
54,1887-03-19,England,Scotland,2,3,1705.25,1842.67,3.1,0.6,4.3,1.0,2.1,2.6,10,10
55,1887-03-21,Wales,Scotland,0,2,1457.55,1861.39,1.9,3.4,4.1,1.2,0.7,2.6,10,10
56,1888-02-04,England,Wales,5,1,1686.53,1452.21,3.3,0.8,1.9,3.2,2.1,0.7,10,10
57,1888-03-03,Wales,Northern Ireland,11,0,1439.84,1394.53,1.9,3.3,1.3,5.8,0.7,0.3,10,10
58,1888-03-10,Scotland,Wales,5,1,1866.73,1465.95,4.2,1.2,2.9,3.2,2.6,0.9,10,10
59,1888-03-17,Scotland,England,0,5,1872.16,1698.9,4.3,1.2,3.4,0.9,2.6,2.1,10,10
60,1888-03-24,Northern Ireland,Scotland,2,10,1368.42,1828.33,1.2,6.1,3.5,1.5,0.3,2.3,10,10
61,1888-04-07,Northern Ireland,England,1,5,1364.45,1742.73,1.4,6.7,3.5,0.9,0.3,2.1,10,10
62,1888-09-19,Scotland,Canada,4,0,1832.3,1594.87,4.4,1.6,1.5,1.5,2.5,1.5,10,2
63,1889-02-23,England,Wales,4,1,1748.84,1460.52,3.9,0.9,2.9,2.9,2.3,0.9,10,10
64,1889-03-02,England,Northern Ireland,6,1,1758.43,1358.34,4.2,0.9,1.3,6.4,2.5,0.3,10,10
65,1889-03-09,Scotland,Northern Ireland,7,0,1844.49,1352.89,4.0,1.5,1.2,6.2,2.5,0.3,10,10
66,1889-04-13,England,Scotland,2,3,1763.88,1847.83,4.2,0.9,4.0,1.3,2.5,2.5,10,10
67,1889-04-15,Wales,Scotland,0,0,1450.93,1870.72,2.2,3.1,4.2,1.4,0.6,2.7,10,10
68,1889-04-27,Northern Ireland,Wales,1,3,1349.55,1476.02,1.2,6.4,1.7,3.1,0.3,0.4,10,10
69,1890-02-08,Wales,Northern Ireland,5,2,1495.55,1330.01,1.9,2.9,1.2,6.1,0.7,0.3,10,10
70,1890-03-15,Northern Ireland,England,1,9,1313.31,1745.7,1.2,5.9,4.3,1.1,0.3,2.4,10,10
71,1890-03-15,Wales,England,1,3,1512.25,1745.7,2.3,2.7,4.9,1.1,1.0,2.4,10,10
72,1890-03-22,Scotland,Wales,5,0,1845.64,1499.84,3.8,1.3,2.4,2.6,2.5,1.0,10,10
73,1890-03-29,Northern Ireland,Scotland,1,4,1308.6,1852.85,1.3,6.1,3.9,1.2,0.3,2.5,10,10
74,1890-04-05,Scotland,England,1,1,1855.35,1758.12,4.0,1.1,4.5,1.2,2.5,2.4,10,10
75,1891-02-07,Northern Ireland,Wales,7,2,1306.09,1492.63,1.3,6.1,2.3,2.7,0.3,1.0,10,10
76,1891-03-07,England,Wales,4,1,1774.57,1447.91,4.2,1.3,2.5,3.2,2.2,1.0,10,10
77,1891-03-07,England,Northern Ireland,6,1,1774.57,1350.81,4.4,1.1,1.6,6.2,2.5,0.3,10,10
78,1891-03-21,Wales,Scotland,3,4,1439.63,1847.17,2.5,3.1,3.9,1.2,1.0,2.3,10,10
79,1891-03-28,Scotland,Northern Ireland,2,1,1852.41,1346.0,3.8,1.4,1.7,5.7,2.3,0.3,10,10
80,1891-04-04,England,Scotland,2,1,1779.39,1855.5,4.5,1.1,4.0,1.0,2.5,2.6,10,10
81,1892-02-27,Wales,Northern Ireland,1,1,1434.39,1342.91,1.7,3.5,1.6,4.9,0.7,0.3,10,10
82,1892-03-05,Northern Ireland,England,0,2,1350.63,1819.71,1.6,4.5,4.2,1.2,0.4,2.5,10,10
83,1892-03-05,Wales,England,0,2,1426.67,1819.71,1.7,3.1,3.9,1.1,0.8,2.5,10,10
84,1892-03-19,Northern Ireland,Scotland,2,3,1346.78,1819.03,1.5,4.1,3.1,1.0,0.4,2.3,10,10
85,1892-03-26,Scotland,Wales,6,1,1822.74,1421.01,3.0,1.2,1.6,2.9,2.3,0.8,10,10
86,1892-04-02,Scotland,England,1,4,1828.15,1825.37,2.9,1.3,3.7,1.0,2.3,2.5,10,10
87,1893-02-25,England,Northern Ireland,6,1,1855.61,1343.06,3.5,1.0,1.7,3.7,2.5,0.4,10,10
88,1893-03-13,England,Wales,6,0,1858.59,1415.61,3.9,0.8,1.7,3.5,2.8,0.7,10,10
89,1893-03-18,Wales,Scotland,0,8,1411.26,1797.91,1.4,4.0,2.7,1.5,0.4,2.0,10,10
90,1893-03-25,Scotland,Northern Ireland,6,1,1803.76,1340.08,3.5,1.5,1.7,4.0,2.2,0.4,10,10
91,1893-04-01,England,Scotland,5,2,1862.94,1807.65,3.6,0.7,3.6,1.6,2.8,2.2,10,10
92,1894-02-24,Wales,Northern Ireland,4,1,1405.41,1336.19,0.9,4.6,1.6,4.1,0.1,0.4,10,10
93,1894-03-03,Northern Ireland,England,2,2,1312.09,1888.2,1.6,3.6,3.8,0.8,0.4,2.8,10,10
94,1894-03-12,Wales,England,1,5,1429.52,1860.3,1.2,4.4,3.9,0.9,0.4,2.8,10,10
95,1894-03-24,Scotland,Wales,5,2,1782.38,1424.88,3.4,2.0,1.3,4.4,1.9,0.4,10,10
96,1894-03-31,Northern Ireland,Scotland,1,2,1339.99,1789.17,1.7,3.4,3.8,2.1,0.5,2.1,10,10
97,1894-04-07,Scotland,England,2,2,1793.38,1864.94,3.6,1.9,4.0,0.9,2.1,2.8,10,10
98,1895-03-09,England,Northern Ireland,9,0,1858.85,1335.79,3.6,1.0,1.1,3.4,2.6,0.2,10,10
99,1895-03-16,Northern Ireland,Wales,2,2,1332.97,1418.08,1.0,3.7,1.3,4.2,0.2,0.4,10,10
100,1895-03-18,England,Wales,1,1,1861.66,1410.88,4.3,0.9,1.4,4.0,2.6,0.5,10,10
101,1895-03-23,Wales,Scotland,2,2,1436.71,1799.47,1.2,3.7,3.6,2.0,0.6,1.9,10,10
102,1895-03-30,Scotland,Northern Ireland,3,1,1776.09,1340.18,3.7,2.0,1.1,3.7,2.0,0.3,10,10
103,1895-04-06,England,Scotland,3,0,1835.83,1780.6,4.2,1.0,3.7,1.9,2.4,2.0,10,10
104,1896-02-29,Wales,Northern Ireland,6,1,1460.09,1335.66,1.3,3.8,1.1,3.9,0.6,0.2,10,10
105,1896-03-07,Northern Ireland,England,0,2,1315.97,1861.1,1.2,4.3,4.3,1.0,0.2,2.4,10,10
106,1896-03-16,Wales,England,1,9,1479.79,1863.6,1.9,3.7,4.1,0.9,0.9,2.4,10,10
107,1896-03-21,Scotland,Wales,4,0,1755.33,1473.85,3.1,2.1,1.9,4.0,1.7,0.9,10,10
108,1896-03-28,Northern Ireland,Scotland,3,3,1313.48,1765.24,1.0,4.2,3.4,1.7,0.2,2.0,10,10
109,1896-04-04,Scotland,England,2,1,1739.38,1869.53,2.9,2.0,4.4,0.9,1.8,2.4,10,10
110,1897-02-20,England,Northern Ireland,6,0,1828.79,1339.33,3.9,1.1,1.2,3.9,2.1,0.3,10,10
111,1897-03-06,Northern Ireland,Wales,4,3,1335.95,1463.94,1.1,3.9,1.9,3.8,0.3,0.9,10,10
112,1897-03-20,Wales,Scotland,2,2,1423.37,1780.12,2.2,3.4,2.5,2.0,0.9,1.8,10,10
113,1897-03-27,Scotland,Northern Ireland,5,1,1756.95,1376.53,2.5,1.7,1.4,3.8,1.9,0.6,10,10
114,1897-03-29,England,Wales,4,0,1832.17,1446.54,4.0,0.9,2.0,3.5,2.1,0.7,10,10
115,1897-04-03,England,Scotland,1,2,1838.05,1762.99,4.2,0.7,2.5,1.6,2.3,1.9,10,10
116,1898-02-19,Wales,Northern Ireland,0,1,1440.67,1370.49,1.9,3.4,1.3,4.1,0.7,0.5,10,10
117,1898-03-05,Northern Ireland,England,2,3,1406.46,1801.67,1.3,3.9,3.8,0.8,0.8,2.0,10,10
118,1898-03-19,Scotland,Wales,5,2,1799.37,1404.69,2.5,1.6,1.7,3.0,1.9,0.7,10,10
119,1898-03-26,Northern Ireland,Scotland,0,3,1400.87,1804.98,1.5,3.3,2.8,1.6,0.8,2.1,10,10
120,1898-03-28,Wales,England,0,3,1399.08,1807.26,1.7,3.3,3.9,0.8,0.6,2.2,10,10
121,1898-04-02,Scotland,England,1,3,1810.31,1812.49,2.9,1.4,3.3,0.8,2.3,2.2,10,10
122,1899-02-18,England,Northern Ireland,13,2,1842.3,1395.53,3.5,0.8,1.3,3.4,2.4,0.7,10,10
123,1899-03-04,Northern Ireland,Wales,1,0,1391.27,1393.85,1.4,4.4,1.6,3.5,0.7,0.5,10,10
124,1899-03-18,Wales,Scotland,0,6,1363.63,1780.5,1.4,3.4,2.7,1.6,0.4,2.0,10,10
125,1899-03-20,England,Wales,4,0,1846.56,1358.64,4.5,1.0,0.8,3.9,2.4,0.1,10,10
126,1899-03-25,Scotland,Northern Ireland,9,1,1785.49,1421.5,3.3,1.3,1.4,3.8,2.3,1.0,10,10
127,1899-04-08,England,Scotland,2,1,1849.97,1792.07,4.7,1.0,3.8,1.4,2.4,2.3,10,10
128,1900-02-03,Scotland,Wales,5,2,1767.02,1355.23,3.6,1.3,0.7,3.4,2.2,0.1,10,10
129,1900-02-24,Wales,Northern Ireland,2,0,1350.1,1414.92,0.9,3.5,1.5,4.5,0.1,1.0,10,10
130,1900-03-03,Northern Ireland,Scotland,0,3,1379.39,1772.15,1.2,4.4,3.9,1.4,0.9,2.2,10,10
131,1900-03-17,Northern Ireland,England,0,2,1373.73,1875.02,1.2,4.1,4.0,1.0,0.9,2.4,10,10
132,1900-03-26,Wales,England,1,1,1385.63,1878.19,0.8,3.1,4.1,0.8,0.4,2.7,10,10
133,1900-04-07,Scotland,England,4,1,1777.81,1851.51,4.0,1.2,3.6,0.9,2.4,2.5,10,10
134,1901-02-23,Scotland,Northern Ireland,11,0,1814.08,1370.55,3.9,1.2,0.8,4.0,2.4,0.6,10,10
135,1901-03-02,Wales,Scotland,1,1,1412.31,1818.42,0.7,3.0,4.8,1.1,0.4,2.4,10,10
136,1901-03-09,England,Northern Ireland,3,0,1815.24,1366.22,3.3,1.3,0.7,4.6,2.2,0.6,10,10
137,1901-03-18,England,Wales,6,0,1819.45,1437.02,3.5,1.1,0.8,2.7,2.5,0.5,10,10
138,1901-03-23,Northern Ireland,Wales,0,1,1362.01,1431.05,0.6,4.9,0.8,3.2,0.3,0.5,10,10
139,1901-03-30,England,Scotland,2,2,1825.43,1793.7,3.8,0.9,4.4,1.0,2.5,2.2,10,10
140,1902-02-22,Wales,Northern Ireland,0,3,1455.16,1337.9,0.7,2.7,0.4,4.7,0.8,0.3,10,10
141,1902-03-01,Northern Ireland,Scotland,1,5,1377.65,1796.43,0.7,4.4,4.3,1.2,0.6,2.0,10,10
142,1902-03-03,Wales,England,0,0,1415.41,1822.7,0.7,2.7,3.7,1.1,0.8,2.3,10,10
143,1902-03-15,Scotland,Wales,5,1,1801.37,1440.16,4.7,1.0,0.7,2.6,2.3,0.9,10,10
144,1902-03-22,Northern Ireland,England,0,1,1372.71,1797.95,0.6,3.6,3.4,1.0,0.6,2.1,10,10
145,1902-05-03,England,Scotland,2,2,1802.72,1808.04,2.2,0.8,4.6,1.1,2.1,2.3,10,10
146,1902-07-20,Uruguay,Argentina,0,6,1600.0,1600.0,1.35,1.35,1.35,1.35,1.5,1.5,0,0
147,1902-10-12,Austria,Hungary,5,0,1600.0,1600.0,1.35,1.35,1.35,1.35,1.5,1.5,0,0
148,1903-02-14,England,Northern Ireland,4,0,1803.18,1367.94,2.0,1.0,0.5,3.7,1.9,0.3,10,10
149,1903-03-02,England,Wales,2,1,1807.71,1433.49,2.2,0.9,0.8,2.5,1.9,0.9,10,10
150,1903-03-09,Wales,Scotland,0,1,1427.25,1807.58,0.9,2.3,3.9,1.2,0.9,2.1,10,10
151,1903-03-21,Scotland,Northern Ireland,0,2,1813.62,1363.41,3.9,1.0,0.4,3.2,2.4,0.3,10,10
152,1903-03-28,Northern Ireland,Wales,2,0,1419.23,1421.21,0.6,3.0,0.7,1.9,0.6,0.9,10,10
153,1903-04-04,England,Scotland,1,2,1813.95,1757.8,2.2,1.0,3.4,1.0,1.9,2.1,10,10
154,1903-04-05,Hungary,Czechoslovakia,2,1,1570.0,1600.0,0.0,5.0,1.35,1.35,0.0,1.5,1,0
155,1903-06-11,Hungary,Austria,3,2,1602.58,1630.0,1.0,3.0,5.0,0.0,1.5,3.0,2,1
156,1903-09-13,Argentina,Uruguay,2,3,1630.0,1570.0,6.0,0.0,0.0,6.0,3.0,0.0,1,1
157,1903-10-11,Austria,Hungary,4,2,1597.64,1634.95,3.5,1.5,1.6667,2.6667,1.5,2.0,2,3
158,1904-02-29,Wales,England,2,2,1391.04,1779.14,0.5,2.1,2.2,1.1,0.6,1.8,10,10
159,1904-03-12,Northern Ireland,England,1,3,1449.4,1754.94,0.8,2.7,2.3,0.9,0.9,1.9,10,10
160,1904-03-12,Scotland,Wales,1,1,1792.61,1415.23,3.3,1.1,0.6,2.2,2.1,0.6,10,10
161,1904-03-21,Wales,Northern Ireland,0,1,1439.1,1440.58,0.6,2.2,0.9,2.8,0.6,0.9,10,10
162,1904-03-26,Northern Ireland,Scotland,1,1,1470.46,1768.75,1.0,1.7,3.0,1.1,1.2,1.9,10,10
163,1904-04-09,Scotland,England,0,1,1747.88,1763.76,2.0,1.2,2.3,1.0,1.7,1.9,10,10
164,1904-05-01,Belgium,France,3,3,1600.0,1600.0,1.35,1.35,1.35,1.35,1.5,1.5,0,0
165,1904-06-02,Hungary,Austria,3,0,1601.74,1630.85,1.75,3.0,3.6667,1.6667,1.5,2.0,4,3
166,1904-10-09,Austria,Hungary,5,4,1598.34,1634.24,2.75,2.0,2.0,2.4,1.5,1.8,4,5
167,1905-02-12,France,Switzerland,1,0,1600.0,1600.0,3.0,3.0,1.35,1.35,1.0,1.5,1,0
168,1905-02-25,England,Northern Ireland,1,1,1792.39,1491.32,1.8,1.0,1.1,1.5,1.9,1.3,10,10
169,1905-03-06,Wales,Scotland,3,1,1409.23,1719.25,0.6,1.7,1.9,1.2,0.6,1.6,10,10
170,1905-03-18,Scotland,Northern Ireland,4,0,1667.87,1512.31,1.8,1.3,1.2,1.5,1.5,1.4,10,10
171,1905-03-27,England,Wales,3,1,1771.4,1460.6,1.7,0.9,0.8,1.8,1.9,0.6,10,10
172,1905-04-01,England,Scotland,1,0,1779.99,1685.27,2.0,1.0,1.7,1.2,2.1,1.5,10,10
173,1905-04-08,Northern Ireland,Wales,2,2,1494.91,1452.01,0.9,1.9,0.9,1.8,1.1,0.6,10,10
174,1905-04-09,Hungary,Austria,0,0,1601.16,1631.43,2.3333,2.8333,3.2,2.4,1.5,1.8,6,5
175,1905-04-17,Guernsey,Alderney,6,0,1600.0,1600.0,1.35,1.35,1.35,1.35,1.5,1.5,0,0
176,1905-04-27,Jersey,Guernsey,0,1,1600.0,1630.0,1.35,1.35,6.0,0.0,1.5,3.0,0,1
177,1905-04-30,Belgium,Netherlands,1,4,1600.0,1600.0,3.0,3.0,1.35,1.35,1.0,1.5,1,0
178,1905-05-07,Belgium,France,7,0,1570.0,1630.0,2.0,3.5,2.0,1.5,0.5,2.0,2,2
179,1905-05-14,Netherlands,Belgium,4,0,1630.0,1605.13,4.0,1.0,3.6667,2.3333,3.0,1.3333,1,3
180,1905-07-21,Guyana,Trinidad and Tobago,1,4,1600.0,1600.0,1.35,1.35,1.35,1.35,1.5,1.5,0,0
181,1905-08-15,Argentina,Uruguay,0,0,1594.87,1605.13,4.0,1.5,1.5,4.0,1.5,1.5,2,2
182,1906-02-17,Northern Ireland,England,0,5,1491.22,1802.01,1.0,1.6,2.0,1.0,1.2,2.1,10,10
183,1906-03-03,Scotland,Wales,0,2,1663.26,1455.7,1.2,1.2,1.1,2.0,1.2,0.6,10,10
184,1906-03-17,Northern Ireland,Scotland,0,1,1482.63,1617.2,1.0,2.0,1.0,1.2,1.2,1.1,10,10
185,1906-03-19,Wales,England,0,1,1501.75,1810.6,1.2,1.5,2.3,0.8,0.9,2.3,10,10
186,1906-03-29,Jersey,Guernsey,1,2,1572.58,1657.42,0.0,1.0,3.5,0.0,0.0,3.0,1,2
187,1906-04-01,Hungary,Czechoslovakia,1,1,1603.76,1567.42,2.0,2.4286,1.0,2.0,1.4286,0.0,7,1
188,1906-04-02,Wales,Northern Ireland,4,4,1493.08,1463.7,1.1,1.4,1.0,1.7,0.9,1.2,10,10
189,1906-04-02,Guernsey,Alderney,1,0,1680.23,1570.0,3.0,0.3333,0.0,6.0,3.0,0.0,3,1
190,1906-04-07,Scotland,England,2,1,1636.13,1819.28,1.0,1.2,2.0,0.8,1.1,2.3,10,10
191,1906-04-22,France,Belgium,0,5,1594.87,1577.27,1.3333,3.3333,2.75,2.75,1.3333,1.0,3,4
192,1906-04-29,Belgium,Netherlands,5,0,1608.79,1657.86,3.2,2.2,4.0,0.5,1.4,3.0,5,2
193,1906-05-13,Netherlands,Belgium,2,3,1623.65,1643.0,2.6667,2.0,3.5,1.8333,2.0,1.6667,3,6
194,1906-07-09,Argentina,South Africa,0,1,1595.76,1600.0,2.6667,1.0,1.35,1.35,1.3333,1.5,3,0
195,1906-08-15,Uruguay,Argentina,0,2,1604.24,1566.12,1.0,2.6667,2.0,1.0,1.3333,1.0,3,4
196,1906-10-07,Czechoslovakia,Hungary,4,4,1570.54,1600.64,1.0,1.5,1.875,2.25,0.5,1.375,2,8
197,1906-10-21,Argentina,Uruguay,2,1,1599.4,1570.97,2.0,0.8,0.75,2.5,1.4,1.0,5,4
198,1906-11-04,Hungary,Austria,3,1,1598.04,1628.82,2.1111,2.4444,2.6667,2.0,1.3333,1.6667,9,6
199,1907-02-16,England,Northern Ireland,1,0,1774.78,1466.24,1.9,0.9,1.2,2.1,2.0,1.0,10,10
200,1907-02-23,Northern Ireland,Wales,2,3,1457.55,1490.55,1.0,2.2,1.5,1.7,0.7,1.0,10,10
201,1907-03-04,Wales,Scotland,1,0,1517.71,1680.62,1.8,1.7,1.2,1.1,1.3,1.4,10,10
202,1907-03-16,Scotland,Northern Ireland,3,0,1637.5,1430.39,1.0,1.1,1.1,2.2,1.1,0.7,10,10
203,1907-03-18,England,Wales,1,1,1783.47,1560.83,1.9,0.7,1.7,1.5,2.3,1.5,10,10
204,1907-03-21,Alderney,Jersey,1,2,1549.21,1549.77,0.0,3.5,0.5,1.5,0.0,0.0,2,2
205,1907-04-04,Jersey,Guernsey,2,3,1579.72,1701.02,1.0,1.3333,2.5,0.25,1.0,3.0,3,4
206,1907-04-06,England,Scotland,1,1,1766.5,1651.48,1.8,0.6,1.2,1.0,2.3,1.3,10,10
207,1907-04-07,Hungary,Czechoslovakia,5,2,1630.69,1573.13,2.2,2.3,2.0,2.3333,1.5,0.6667,10,3
208,1907-04-14,Belgium,Netherlands,1,3,1671.33,1595.32,3.4286,1.8571,2.5,2.25,1.8571,1.5,7,4
209,1907-04-21,Belgium,France,1,2,1634.87,1563.35,3.125,2.0,1.0,3.75,1.625,1.0,8,4
210,1907-05-05,Austria,Hungary,3,1,1596.17,1655.77,2.4286,2.1429,2.7,2.0,1.4286,1.8,7,10
211,1907-05-09,Netherlands,Belgium,1,2,1631.78,1598.78,2.6,2.0,2.8889,2.0,1.8,1.4444,5,9
212,1907-10-06,Czechoslovakia,Hungary,5,3,1548.06,1620.67,2.0,3.0,2.6,2.2,0.5,1.5,4,10
213,1907-11-03,Hungary,Austria,4,1,1584.49,1631.27,2.6,2.5,2.5,2.0,1.2,1.625,10,8
214,1908-02-15,Northern Ireland,England,1,3,1416.42,1756.92,1.0,2.5,1.6,0.6,0.4,2.1,10,10
215,1908-03-07,Scotland,Wales,2,1,1661.06,1577.79,1.2,1.0,1.7,1.5,1.3,1.5,10,10
216,1908-03-08,Switzerland,France,1,2,1570.0,1599.44,0.0,1.0,1.2,3.2,0.0,1.4,1,5
217,1908-03-14,Northern Ireland,Scotland,0,5,1409.01,1684.0,1.0,2.7,1.4,1.0,0.3,1.6,10,10
218,1908-03-16,Wales,England,1,7,1554.85,1764.33,1.8,1.6,1.8,0.7,1.5,2.1,10,10
219,1908-03-29,Belgium,Netherlands,1,4,1631.62,1598.94,2.8,1.9,2.3333,2.0,1.6,1.5,10,6
220,1908-04-02,Guernsey,Alderney,3,0,1720.95,1519.26,2.6,0.6,0.3333,3.0,3.0,0.0,5,3
221,1908-04-04,Scotland,England,1,1,1694.23,1778.15,1.8,0.7,2.4,0.7,1.9,2.3,10,10
222,1908-04-05,Hungary,Czechoslovakia,5,2,1618.51,1584.24,2.8,2.2,2.6,3.0,1.5,1.0,10,5
223,1908-04-05,Switzerland,Germany,5,3,1542.54,1600.0,0.5,1.5,1.35,1.35,0.0,1.5,2,0
224,1908-04-09,Guernsey,Jersey,0,4,1735.26,1559.79,2.6667,0.5,1.25,1.75,3.0,0.75,6,4
225,1908-04-11,Wales,Northern Ireland,0,1,1541.02,1398.79,1.6,2.2,0.9,3.1,1.2,0.2,10,10
