date,team,elo_pre
1892-03-26,Wales,1421.0131332346655
1892-04-02,Scotland,1828.1481673232413
1892-04-02,England,1825.3688735216397
1893-02-25,England,1855.6088519206987
1893-02-25,Northern Ireland,1343.063880836691
1893-03-13,England,1858.5917780456725
1893-03-13,Wales,1415.6077592737538
1893-03-18,Wales,1411.2622547796623
1893-03-18,Scotland,1797.9081889241822
1893-03-25,Scotland,1803.7560953677546
1893-03-25,Northern Ireland,1340.0809547117171
1893-04-01,England,1862.937282539764
1893-04-01,Scotland,1807.645281398577
1894-02-24,Wales,1405.41434833609
1894-02-24,Northern Ireland,1336.1917686808947
1894-03-03,Northern Ireland,1312.0910728490257
1894-03-03,England,1888.202888677719
1894-03-12,Wales,1429.5150441679589
1894-03-12,England,1860.3037274905207
1894-03-24,Scotland,1782.379675260622
1894-03-24,Wales,1424.8779376541847
1894-03-31,Northern Ireland,1339.9902340362241
1894-03-31,Scotland,1789.174795168085
1894-04-07,Scotland,1793.378605732514
1894-04-07,England,1864.9408340042949
1895-03-09,England,1858.8475799963321
1895-03-09,Northern Ireland,1335.7864234717952
1895-03-16,Northern Ireland,1332.9704915160798
1895-03-16,Wales,1418.0828177467217
1895-03-18,England,1861.6635119520474
1895-03-18,Wales,1410.8771960048666
1895-03-23,Wales,1436.7092881205238
1895-03-23,Scotland,1799.4718597404767
1895-03-30,Scotland,1776.086628941091
1895-03-30,Northern Ireland,1340.176113257935
1895-04-06,England,1835.8314198363903
1895-04-06,Scotland,1780.5991448335049
1896-02-29,Wales,1460.0945189199094
1896-02-29,Northern Ireland,1335.6635973655211
1896-03-07,Northern Ireland,1315.970862670321
1896-03-07,England,1861.102054840845
1896-03-16,Wales,1479.7872536151096
1896-03-16,England,1863.595992814559
1896-03-21,Scotland,1755.32850982905
1896-03-21,Wales,1473.852578254703
1896-03-28,Northern Ireland,1313.476924696607
1896-03-28,Scotland,1765.238272629038
1896-04-04,Scotland,1739.3844647055955
1896-04-04,England,1869.5306681749655
1897-02-20,England,1828.7906450850437
1897-02-20,Northern Ireland,1339.3307326200495
1897-03-06,Northern Ireland,1335.9477688247648
1897-03-06,Wales,1463.9428154547152
1897-03-20,Wales,1423.3650898187843
1897-03-20,Scotland,1780.1244877955173
1897-03-27,Scotland,1756.94539901076
1897-03-27,Northern Ireland,1376.5254944606957
1897-03-29,England,1832.1736088803284
1897-03-29,Wales,1446.5441786035417
1897-04-03,England,1838.0524718386882
1897-04-03,Scotland,1762.9852144139245
1898-02-19,Wales,1440.6653156451819
1898-02-19,Northern Ireland,1370.4856790575311
1898-03-05,Northern Ireland,1406.464383417168
1898-03-05,England,1801.6696575973613
1898-03-19,Scotland,1799.3680286552515
1898-03-19,Wales,1404.686611285545
1898-03-26,Northern Ireland,1400.8714210804917
1898-03-26,Scotland,1804.976303514971
1898-03-28,Wales,1399.0783364258255
1898-03-28,England,1807.2626199340375
1898-04-02,Scotland,1810.314804546564
1898-04-02,England,1812.4880085659354
1899-02-18,England,1842.3003614939346
1899-02-18,Northern Ireland,1395.5329200488989
1899-03-04,Northern Ireland,1391.274389110963
1899-03-04,Wales,1393.8529477939276
1899-03-18,Wales,1363.6303012273818
1899-03-18,Scotland,1780.5024516185647
1899-03-20,England,1846.5588924318704
1899-03-20,Wales,1358.6386078545193
1899-03-25,Scotland,1785.4941449914272
1899-03-25,Northern Ireland,1421.4970356775088
1899-04-08,England,1849.9702597836242
1899-04-08,Scotland,1792.0672040616475
1900-02-03,Scotland,1767.021174954977
1900-02-03,Wales,1355.2272405027654
1900-02-24,Wales,1350.1001265880204
1900-02-24,Northern Ireland,1414.9239766072885
1900-03-03,Northern Ireland,1379.3906939777794
1900-03-03,Scotland,1772.148288869722
1900-03-17,Northern Ireland,1373.725862068659
1900-03-17,England,1875.0162888902948
1900-03-26,Wales,1385.6334092175296
1900-03-26,England,1878.1883105156269
1900-04-07,Scotland,1777.8131207788424
1900-04-07,England,1851.5148485227335
1901-02-23,Scotland,1814.0832694800267
1901-02-23,Northern Ireland,1370.5538404433269
1901-03-02,Wales,1412.306871210423
1901-03-02,Scotland,1818.4161357738426
1901-03-09,England,1815.2446998215491
1901-03-09,Northern Ireland,1366.220974149511
1901-03-18,England,1819.452131204893
1901-03-18,Wales,1437.0242205781115
1901-03-23,Northern Ireland,1362.0135427661671
1901-03-23,Wales,1431.0469025369407
1901-03-30,England,1825.4294492460638
1901-03-30,Scotland,1793.698786406154
1902-02-22,Wales,1455.1633068176845
1902-02-22,Northern Ireland,1337.8971384854233
1902-03-01,Northern Ireland,1377.6549628125335
1902-03-01,Scotland,1796.431039870618
1902-03-03,Wales,1415.4054824905743
1902-03-03,England,1822.6971957816
1902-03-15,Scotland,1801.372804905006
1902-03-15,Wales,1440.1555317222617
1902-03-22,Northern Ireland,1372.7131977781455
1902-03-22,England,1797.9471465499125
1902-05-03,England,1802.7229306602756
1902-05-03,Scotland,1808.0401102370965
1902-07-20,Uruguay,1600.0
1902-07-20,Argentina,1600.0
1902-10-12,Austria,1600.0
1902-10-12,Hungary,1600.0
1903-02-14,England,1803.1820170103906
1903-02-14,Northern Ireland,1367.9374136677825
1903-03-02,England,1807.710555854249
1903-03-02,Wales,1433.4882263901711
1903-03-09,Wales,1427.251844986439
1903-03-09,Scotland,1807.5810238869815
1903-03-21,Scotland,1813.6236767008309
1903-03-21,Northern Ireland,1363.4088748239242
1903-03-28,Northern Ireland,1419.228189360623
1903-03-28,Wales,1421.2091921725896
1903-04-04,England,1813.946937257981
1903-04-04,Scotland,1757.804362164132
1903-04-05,Hungary,1570.0
1903-04-05,Czechoslovakia,1600.0
1903-06-11,Hungary,1602.5839895213328
1903-06-11,Austria,1630.0
1903-09-13,Argentina,1630.0
1903-09-13,Uruguay,1570.0
1903-10-11,Austria,1597.6376126416237
1903-10-11,Hungary,1634.946376879709
1904-02-29,Wales,1391.0381404933348
1904-02-29,England,1779.1409558709427
1904-03-12,Northern Ireland,1449.3992410398778
1904-03-12,England,1754.9447481476282
1904-03-12,Scotland,1792.6103435511704
1904-03-12,Wales,1415.2343482166493
1904-03-21,Wales,1439.098687344696
1904-03-21,Northern Ireland,1440.5832605479936
1904-03-26,Northern Ireland,1470.4550729733685
1904-03-26,Scotland,1768.7460044231238
1904-04-09,Scotland,1747.8807042937724
1904-04-09,England,1763.7607286395123
1904-05-01,Belgium,1600.0
1904-05-01,France,1600.0
1904-06-02,Hungary,1601.7372049058533
1904-06-02,Austria,1630.8467846154795
1904-10-09,Austria,1598.3391264430984
1904-10-09,Hungary,1634.2448630782344
1905-02-12,France,1600.0
1905-02-12,Switzerland,1600.0
1905-02-25,England,1792.39049115722
1905-02-25,Northern Ireland,1491.32037310272
1905-03-06,Wales,1409.226874919321
1905-03-06,Scotland,1719.2509417760648
1905-03-18,Scotland,1667.8747950935922
1905-03-18,Northern Ireland,1512.3088756819106
1905-03-27,England,1771.4019885780292
1905-03-27,Wales,1460.6030216017937
1905-04-01,England,1779.9929550127679
1905-04-01,Scotland,1685.2732463074199
1905-04-08,Northern Ireland,1494.910424468083
1905-04-08,Wales,1452.012055167055
1905-04-09,Hungary,1601.1555030529587
1905-04-09,Austria,1631.428486468374
1905-04-17,Guernsey,1600.0
1905-04-17,Alderney,1600.0
1905-04-27,Jersey,1600.0
1905-04-27,Guernsey,1630.0
1905-04-30,Belgium,1600.0
1905-04-30,Netherlands,1600.0
1905-05-07,Belgium,1570.0
1905-05-07,France,1630.0
1905-05-14,Netherlands,1630.0
1905-05-14,Belgium,1605.1299207203085
1905-07-21,Guyana,1600.0
1905-07-21,Trinidad and Tobago,1600.0
1905-08-15,Argentina,1594.8700792796915
1905-08-15,Uruguay,1605.1299207203085
1906-02-17,Northern Ireland,1491.2249908826595
1906-02-17,England,1802.0109771667253
1906-03-03,Scotland,1663.2552241534624
1906-03-03,Wales,1455.6974887524784
1906-03-17,Northern Ireland,1482.633474406571
1906-03-17,Scotland,1617.1993351533263
1906-03-19,Wales,1501.7533777526146
1906-03-19,England,1810.602493642814
1906-03-29,Jersey,1572.5839895213328
1906-03-29,Guernsey,1657.4160104786672
1906-04-01,Hungary,1603.7628873963056
1906-04-01,Czechoslovakia,1567.4160104786672
1906-04-02,Wales,1493.0794595551315
1906-04-02,Northern Ireland,1463.704684620348
1906-04-02,Guernsey,1680.233200355503
1906-04-02,Alderney,1570.0
1906-04-07,Scotland,1636.1281249395493
1906-04-07,England,1819.276411840297
1906-04-22,France,1594.8700792796915
1906-04-22,Belgium,1577.2737156651115
1906-04-29,Belgium,1608.791810057377
1906-04-29,Netherlands,1657.856205055197
1906-05-13,Netherlands,1623.647584617334
1906-05-13,Belgium,1643.0004304952402
1906-07-09,Argentina,1595.7557277799583
1906-07-09,South Africa,1600.0
1906-08-15,Uruguay,1604.2442722200417
1906-08-15,Argentina,1566.1221894739588
1906-10-07,Czechoslovakia,1570.543052729338
1906-10-07,Hungary,1600.635845145635
1906-10-21,Argentina,1599.4007678852827
1906-10-21,Uruguay,1570.9656938087178
1906-11-04,Hungary,1598.0439029088295
1906-11-04,Austria,1628.8211021250272
1907-02-16,England,1774.7805837817427
1907-02-16,Northern Ireland,1466.2350801389175
1907-02-23,Northern Ireland,1457.5481857594882
1907-02-23,Wales,1490.549064036562
1907-03-04,Wales,1517.7080777973558
1907-03-04,Scotland,1680.6239529981035
1907-03-16,Scotland,1637.5044172990806
1907-03-16,Northern Ireland,1430.3891719986943
1907-03-18,England,1783.467478161172
1907-03-18,Wales,1560.8276134963787
1907-03-21,Alderney,1549.211271592207
1907-03-21,Jersey,1549.7667996444973
1907-04-04,Jersey,1579.7188315374278
1907-04-04,Guernsey,1701.021928763296
1907-04-06,England,1766.5039731100608
1907-04-06,Scotland,1651.4758105308913
1907-04-07,Hungary,1630.6944903894255
1907-04-07,Czechoslovakia,1573.1349949661433
1907-04-14,Belgium,1671.3310975821576
1907-04-14,Netherlands,1595.3169175304165
1907-04-21,Belgium,1634.870266108524
1907-04-21,France,1563.351984887426
1907-05-05,Austria,1596.1705146444313
1907-05-05,Hungary,1655.769380643985
1907-05-09,Netherlands,1631.77774900405
1907-05-09,Belgium,1598.7806503447307
1907-10-06,Czechoslovakia,1548.0601047115838
1907-10-06,Hungary,1620.6730904618826
1907-11-03,Hungary,1584.4929033015665
1907-11-03,Austria,1631.2668048265336
1908-02-15,Northern Ireland,1416.4177787668837
1908-02-15,England,1756.919309868737
1908-03-07,Scotland,1661.0604737722151
1908-03-07,Wales,1577.79111854749
1908-03-08,Switzerland,1570.0
1908-03-08,France,1599.4416006512192
1908-03-14,Northern Ireland,1409.0103037686051
1908-03-14,Scotland,1684.0049963354877
1908-03-16,Wales,1554.8465959842174
1908-03-16,England,1764.3267848670155
1908-03-29,Belgium,1631.621313151956
1908-03-29,Netherlands,1598.9370861968248
1908-04-02,Guernsey,1720.953592962696
1908-04-02,Alderney,1519.2592396992763
1908-04-04,Scotland,1694.2272860297805
1908-04-04,England,1778.1527964762404
1908-04-05,Hungary,1618.5074623278306
1908-04-05,Czechoslovakia,1584.2402918719
1908-04-05,Switzerland,1542.5361245706401
1908-04-05,Germany,1600.0
1908-04-09,Guernsey,1735.2622290663176
1908-04-09,Jersey,1559.787167338028
1908-04-11,Wales,1541.0205843749925
1908-04-11,Northern Ireland,1398.7880140743123
1908-04-12,France,1626.905476080579
1908-04-12,Belgium,1598.8074259151347
1908-04-26,Netherlands,1631.750973433646
1908-04-26,Belgium,1631.2283310051641
1908-05-03,Austria,1597.2522458002695
1908-05-03,Hungary,1645.5581540650883
1908-05-10,Netherlands,1661.7058448927567
1908-05-10,France,1594.4845709905496
1908-06-06,Austria,1631.3966425995545
1908-06-06,England,1771.0438196155244
1908-06-07,Austria,1612.844793063862
1908-06-07,Germany,1565.082924583176
1908-06-08,Austria,1638.7464858527123
1908-06-08,England,1789.595669151217
1908-06-10,Hungary,1611.4137572658033
1908-06-10,England,1807.3314378480832
1908-06-13,Czechoslovakia,1557.1896001346422
1908-06-13,England,1822.0055572593617
1908-07-12,Sweden,1600.0
1908-07-12,Norway,1600.0
1908-08-15,Uruguay,1543.4155081054664
1908-08-15,Argentina,1626.950953588534
1908-09-13,Argentina,1619.8737748114668
1908-09-13,Uruguay,1550.4926868825337
1908-10-04,Argentina,1643.9613143664433
1908-10-04,Uruguay,1526.4051473275572
1908-10-22,France,1570.2175641862352
1908-10-22,Denmark,1600.0
1908-10-23,Netherlands,1685.972851697071
1908-10-23,Sweden,1630.0
1908-10-25,Netherlands,1711.181150416494
1908-10-25,Sweden,1604.7917012805772
1908-10-26,Belgium,1601.2734595460536
1908-10-26,Sweden,1583.7013539768184
1908-11-01,Hungary,1596.7396378545247
1908-11-01,Austria,1621.0107171558461
1909-02-13,England,1832.7343998070671
1909-02-13,Northern Ireland,1440.4263529006257
1909-03-01,Wales,1499.382245548679
1909-03-01,Scotland,1701.3362628904965
1909-03-15,England,1838.4125210854281
1909-03-15,Wales,1545.0898903621262
1909-03-15,Scotland,1655.6286180770494
1909-03-15,Northern Ireland,1434.7482316222647
1909-03-18,Guernsey,1691.2796621361354
1909-03-18,Jersey,1603.7697342682102
1909-03-20,Northern Ireland,1421.60809095522
1909-03-20,Wales,1535.7315042255614
1909-03-21,Belgium,1629.7574544055585
1909-03-21,Netherlands,1732.2714977202527
1909-03-25,Guernsey,1713.8792840284027
1909-03-25,Alderney,1504.9506035956547
1909-04-03,England,1847.770907221993
1909-04-03,Scotland,1668.7687587440942
1909-04-04,Germany,1539.1812317943256
1909-04-04,Switzerland,1577.4531999874641
1909-04-04,Hungary,1628.8319688119568
1909-04-04,Germany,1572.4725971783387
1909-04-25,Netherlands,1753.6679608098177
1909-04-25,Belgium,1608.3609913159935
1909-05-02,Austria,1588.918386198414
1909-05-02,Hungary,1624.0077499522015
1909-05-09,Belgium,1590.2240650078468
1909-05-09,France,1542.7829060735676
1909-05-29,Hungary,1650.988150447032
1909-05-29,England,1863.5510777542904
1909-05-30,Hungary,1637.350049547485
1909-05-30,Austria,1561.9379857035835
1909-05-31,Hungary,1630.9388160707447
1909-05-31,England,1877.1891786538374
1909-06-01,Austria,1568.3492191803239
1909-06-01,England,1888.8921145266306
1909-08-15,Argentina,1604.181104770383
1909-08-15,Uruguay,1566.1853569236175
1909-09-19,Uruguay,1539.4531565613418
1909-09-19,Argentina,1630.9133051326587
1909-10-10,Argentina,1623.193502710703
1909-10-10,Uruguay,1547.1729589832976
1909-11-07,Hungary,1619.2358801979515
1909-11-07,Austria,1560.1629238708283
1910-02-12,Northern Ireland,1401.1225477973348
1910-02-12,England,1897.0784098361262
1910-03-05,Scotland,1652.9885882117967
1910-03-05,Wales,1556.2170473834465
1910-03-13,Belgium,1616.1529367011692
1910-03-13,Netherlands,1771.8048871179644
1910-03-14,Wales,1534.363392462251
1910-03-14,England,1870.343965923415
1910-03-19,Northern Ireland,1427.8569917100463
1910-03-19,Scotland,1674.842243132992
1910-04-02,Scotland,1626.505379185818
1910-04-02,England,1877.9220810482118
1910-04-03,France,1516.8540343802451
1910-04-03,Belgium,1658.7606026530239
1910-04-03,Switzerland,1544.161834603451
1910-04-03,Germany,1577.296816038094
1910-04-07,Jersey,1581.1701123759428
1910-04-07,Alderney,1491.0907837599461
1910-04-10,Netherlands,1729.1972211661098
1910-04-10,Belgium,1677.1461853098367
1910-04-11,Wales,1526.7852773374543
1910-04-11,Northern Ireland,1476.1938556572204
1910-04-21,Guernsey,1727.7391038641113
1910-04-21,Jersey,1603.5617578924653
1910-04-24,Netherlands,1754.7360995095567
1910-04-24,Germany,1604.4443546655375
1910-05-01,Austria,1565.2151025127293
1910-05-01,Hungary,1614.1837015560504
1910-05-15,Italy,1600.0
1910-05-15,France,1498.4684517234323
1910-05-16,Germany,1586.6684707707204
1910-05-16,Belgium,1651.6073069663898
1910-05-26,Hungary,1579.9831903280003
1910-05-26,Italy,1621.4743841920454
1910-05-27,Argentina,1646.7321472404833
1910-05-27,Chile,1600.0
1910-05-29,Chile,1574.0110181772247
1910-05-29,Uruguay,1523.6343144535172
1910-06-05,Argentina,1672.7211290632586
1910-06-05,Chile,1539.6913733308527
1910-06-12,Argentina,1691.7646792492085
1910-06-12,Uruguay,1557.9539592998892
1910-08-15,Uruguay,1538.9688004875518
1910-08-15,Argentina,1710.749838061546
1910-09-11,Norway,1570.0
1910-09-11,Sweden,1555.2173591173134
1910-09-11,Chile,1520.6478231449028
1910-09-11,Argentina,1667.0181815739281
1910-10-16,Germany,1562.211343753159
1910-10-16,Netherlands,1772.5119834043737
1910-10-16,Russia,1600.0
1910-10-16,Czechoslovakia,1546.4607575869368
1910-10-23,Russia,1625.4132985701674
1910-10-23,Czechoslovakia,1521.0474590167694
1910-11-06,Hungary,1613.5488934078505
1910-11-06,Austria,1599.4156137407795
1910-11-13,Argentina,1685.077739285253
1910-11-13,Uruguay,1582.7004569751696
1910-11-27,Argentina,1676.485041265145
1910-11-27,Uruguay,1591.2931549952777
1911-01-01,France,1476.994067531387
1911-01-01,Hungary,1642.3292006380984
1911-01-06,Italy,1587.9086811121952
1911-01-06,Hungary,1659.0412356519296
1911-01-08,Switzerland,1517.0142959760074
1911-01-08,Hungary,1682.9835610453063
1911-01-28,Northern Ireland,1450.5316547373525
1911-01-28,Wales,1552.4474782573222
1911-02-11,England,1829.3473972350744
1911-02-11,Northern Ireland,1429.087762165264
1911-03-06,Wales,1573.8913708294108
1911-03-06,Scotland,1675.0800629989553
1911-03-13,England,1834.79453608101
1911-03-13,Wales,1582.3897653716494
1911-03-18,Scotland,1666.5816684567167
1911-03-18,Northern Ireland,1423.6406233193284
1911-03-19,Belgium,1676.0644339839512
1911-03-19,Netherlands,1786.2878072423225
1911-03-26,Germany,1548.4355199152103
1911-03-26,Switzerland,1560.3462383227572
1911-04-01,England,1846.1673346938608
1911-04-01,Scotland,1678.4651036324367
1911-04-02,Netherlands,1807.0773042004557
1911-04-02,Belgium,1655.274937025818
1911-04-09,France,1460.2820325175558
1911-04-09,Italy,1563.9663557188185
1911-04-20,Guernsey,1687.4511542429018
1911-04-20,Alderney,1468.6991382434237
1911-04-23,Belgium,1637.6076408350602
1911-04-23,Germany,1579.463571309808
1911-04-23,Switzerland,1529.3181869281595
1911-04-23,France,1468.97821876435
1911-04-27,Jersey,1643.8497075136747
1911-04-27,Guernsey,1700.7174616726757
1911-04-30,Belgium,1662.6334289424942
1911-04-30,France,1444.1366315699936
1911-05-07,Austria,1570.6353065105316
1911-05-07,Hungary,1639.6516186985564
1911-05-07,Italy,1555.2701694720242
1911-05-07,Switzerland,1554.159774122516
1911-05-21,Switzerland,1554.2556530377888
1911-05-21,Italy,1555.1742905567514
1911-06-18,Sweden,1586.4930252419788
1911-06-18,Germany,1554.437783202374
1911-08-15,Argentina,1639.2729464301024
1911-08-15,Uruguay,1628.5052498303203
1911-09-17,Sweden,1553.7329801993073
1911-09-17,Norway,1538.7243338753347
1911-09-17,Uruguay,1659.4347099303388
1911-09-17,Argentina,1608.3434863300838
1911-10-08,Uruguay,1625.0546655794362
1911-10-08,Argentina,1642.7235306809864
1911-10-09,Germany,1587.1978282450455
1911-10-09,Austria,1606.5174868273352
1911-10-22,Finland,1600.0
1911-10-22,Sweden,1582.4378350232791
1911-10-22,Argentina,1641.1991921036993
1911-10-22,Uruguay,1626.5790041567234
1911-10-29,Germany,1558.8643043943275
1911-10-29,Sweden,1613.952984014668
1911-10-29,Hungary,1603.7694383817527
1911-10-29,Switzerland,1584.3349743925821
1911-10-29,Luxembourg,1600.0
1911-10-29,France,1430.8551370394096
1911-10-29,Uruguay,1597.8406680532755
1911-10-29,Argentina,1669.9375282071471
1911-11-05,Hungary,1632.0930799075122
1911-11-05,Austria,1634.8510106780532
1911-12-17,Germany,1533.581577722486
1911-12-17,Hungary,1662.3312137913192
1912-01-28,France,1474.4062339876266
1912-01-28,Belgium,1675.9149234730783
1912-02-10,Northern Ireland,1411.7571881436083
1912-02-10,England,1832.715574240898
1912-02-10,France,1490.0859489722543
1912-02-10,Catalonia,1600.0
1912-02-18,France,1529.272253952097
1912-02-18,Switzerland,1556.0113328668226
1912-02-20,Belgium,1660.2352084884506
1912-02-20,Switzerland,1523.7070428656314
1912-03-02,Scotland,1691.9168640853995
1912-03-02,Wales,1571.0169667587986
1912-03-10,Belgium,1679.0179412666191
1912-03-10,Netherlands,1824.7446003912135
1912-03-11,Wales,1551.054396850164
1912-03-11,England,1837.6006701099006
1912-03-16,Northern Ireland,1406.8720922746056
1912-03-16,Scotland,1711.8794339940341
1912-03-17,Italy,1525.094969201958
1912-03-17,France,1561.5765439532881
1912-03-23,Scotland,1720.7187383312132
1912-03-23,England,1847.271319601957
1912-03-24,Netherlands,1842.850969054807
1912-03-24,Germany,1514.2163158241192
1912-04-13,Wales,1541.3837473581077
1912-04-13,Northern Ireland,1398.0327879374265
1912-04-14,Hungary,1681.696475689686
1912-04-14,Germany,1536.3537700239701
1912-04-18,Jersey,1678.7166784202232
1912-04-18,Guernsey,1665.8504907661272
1912-04-19,Jersey,1677.6062300355236
