team,players,fm_goalkeeper_rating,fm_defense_rating,fm_midfield_rating,fm_attack_rating,fm_depth_rating,fm_overall_rating,top_5_players
Bosnia and Herzegovina,26,68.15,68.79,60.77,70.28,64.83,66.82,Sead Kolasinac (CB 73/75); Ermedin Demirovic (ST 71/73); Edin Dzeko (ST 69/84); Amar Dedić (RB 70/76); Haris Tabakovic (ST 68/70)
DR Congo,26,59.05,66.2,67.73,69.02,64.81,66.5,Yoane Wissa (ST 72/73); Noah Sadiki (CM 70/80); Aaron Wan-Bissaka (RB 69/75); Ngal'ayel Mukau (DM 66/82); Simon Banza (ST 68/70)
Tunisia,26,60.75,61.79,67.85,64.85,62.04,64.02,Ellyes Skhiri (DM 69/73); Rani Khedira (DM 69/70); Montassar Talbi (CB 66/72); Elias Achouri (LW 66/70); Hannibal (AM 63/75)
South Africa,26,70.45,62.36,64.23,62.95,61.67,63.71,Ronwen Williams (GK 70/73); Teboho Mokoena (DM 66/75); Themba Zwane (AM 66/70); Khuliso Mudau (RB 64/70); Iqraam Rayners (ST 64/68)
Australia,26,66.9,64.65,63.18,61.02,61.5,63.19,Alessandro Circati (CB 66/74); Mathew Ryan (GK 66/72); Jordan Bos (LB 65/70); Cameron Burgess (CB 64/65); Jackson Irvine (CM 64/65)
Saudi Arabia,26,58.3,63.2,62.35,63.17,60.79,62.26,Salem Al-Dawsari (LW 70/73); Saud Abdulhamid (RB 65/70); Musab Al-Juwayr (CM 63/70); Hassan Tambakti (CB 63/65); Ali Majrashi (RB 63/63)
Cape Verde,26,57.15,65.42,60.22,61.77,60.65,61.85,Logan Costa (CB 72/76); Sidny Lopes Cabral (LB 65/69); Wagner Pina (RB 63/68); Kevin Lenini (DM 63/65); Jovane Cabral (LW 62/68)
Iran,26,63.3,58.85,59.83,65.17,60.59,61.47,Mehdi Taremi (ST 68/78); Alireza Beiranvand (GK 63/65); Mehdi Ghayedi (LW 63/63); Amirhossein Hosseinzadeh (ST 63/63); Alireza Jahanbakhsh (RW 60/70)
Uzbekistan,26,59.2,62.71,59.18,63.47,59.83,61.44,Abdukodir Khusanov (CB 75/87); Eldor Shomurodov (ST 65/68); Abbosbek Fayzullaev (RW 63/73); Khozhiakbar Alizhonov (RB 61/66); Igor Sergeev (ST 60/63)
Panama,26,63.0,62.57,58.83,62.3,60.28,61.41,Amir Murillo (RB 67/70); Adalberto Carrasquilla (CM 63/66); Ismael Díaz (LW 63/64); Luis Mejía (GK 63/63); Andrés Andrade (CB 62/66)
Haiti,26,56.9,62.39,57.43,62.55,58.96,60.35,Jean-Ricner Bellegarde (CM 66/71); Wilson Isidor (ST 66/69); Ricardo Adé (CB 64/65); Josué Casimir (RW 62/68); Hannes Delcroix (CB 62/67)
Qatar,26,58.3,58.58,57.47,64.98,57.74,59.99,Akram Afif (LW 70/70); Almoez Ali (ST 63/68); Lucas Mendes (CB 60/70); Edmílson Junior (LW 60/68); Boualem Khoukhi (CB 60/63)
Curaçao,26,55.8,61.86,59.38,60.43,58.44,59.92,Armando Obispo (CB 63/67); Riechedly Bazoer (CB 63/66); Shurandy Sambo (RB 61/66); Sontje Hansen (RW 60/68); Jürgen Locadia (ST 59/69)
Iraq,26,55.0,58.59,61.33,61.57,58.55,59.72,Hussein Ali (RB 61/75); Ali Jasim (LW 61/75); Mohanad Ali (ST 61/75); Kevin Yakob (CM 62/68); Merchas Doski (LB 61/63)
New Zealand,26,58.3,59.81,60.65,59.68,58.21,59.66,Chris Wood (ST 68/69); Tyler Bindon (CB 62/75); Liberato Cacace (LB 62/67); Joe Bell (DM 62/65); Marko Stamenić (CM 59/68)
Jordan,26,53.3,55.2,49.23,56.75,52.34,53.73,Mousa Tamari (RW 65/68); Yazan Al-Arab (CB 63/63); Yazeed Abulaila (GK 53/55); Abdallah Nasib (CB 53/55); Ehsan Haddad (RB 53/55)
