team,alpha_attack,beta_defense,matches_used,as_of_date
Comoros,0.992233,1.218501,108,2022-11-20
Congo,0.844792,1.813844,390,2022-11-20
Cook Islands,0.1,1.612486,44,2022-11-20
Corsica,1.000071,0.999125,9,2022-11-20
Costa Rica,1.868043,0.405099,674,2022-11-20
County of Nice,1.000846,1.000434,9,2022-11-20
Crimea,1.0,1.0,5,2022-11-20
Croatia,2.789362,0.41779,352,2022-11-20
Cuba,1.174736,1.297014,365,2022-11-20
Curaçao,1.099374,1.375001,351,2022-11-20
Cyprus,0.726555,1.21032,391,2022-11-20
Czech Republic,2.554427,0.617164,323,2022-11-20
Czechoslovakia,1.0,1.0,520,2022-11-20
DR Congo,0.971708,0.848142,479,2022-11-20
Darfur,0.9999,1.001518,7,2022-11-20
Denmark,3.080622,0.362837,833,2022-11-20
Djibouti,0.549052,3.764488,95,2022-11-20
Dominica,0.375223,2.064173,194,2022-11-20
Dominican Republic,1.107634,1.536829,126,2022-11-20
Donetsk PR,1.002398,0.999731,6,2022-11-20
Ecuador,1.748404,0.243658,549,2022-11-20
Egypt,1.426126,0.449357,709,2022-11-20
El Salvador,1.133226,0.836155,571,2022-11-20
Ellan Vannin,1.030446,1.00578,22,2022-11-20
England,2.849337,0.451791,1044,2022-11-20
Equatorial Guinea,0.852561,0.876491,142,2022-11-20
Eritrea,0.972014,1.096055,71,2022-11-20
Estonia,1.236657,0.830407,512,2022-11-20
Eswatini,1.072012,1.226527,247,2022-11-20
Ethiopia,1.106478,1.480042,383,2022-11-20
Falkland Islands,0.995661,1.018074,29,2022-11-20
Faroe Islands,0.929746,1.102656,254,2022-11-20
Felvidék,0.998107,0.998923,12,2022-11-20
Fiji,0.684171,1.506724,241,2022-11-20
Finland,1.467212,0.689574,781,2022-11-20
France,3.05577,0.402539,888,2022-11-20
French Guiana,1.339942,0.880128,163,2022-11-20
Frøya,1.005576,1.024811,30,2022-11-20
Gabon,1.367488,0.855562,373,2022-11-20
Galicia,1.000072,0.999803,11,2022-11-20
Gambia,0.716071,0.752238,237,2022-11-20
Georgia,1.766446,0.65749,270,2022-11-20
German DR,1.0,1.0,298,2022-11-20
Germany,3.000709,0.507916,988,2022-11-20
Ghana,1.12481,0.516115,632,2022-11-20
Gibraltar,0.615749,1.664755,127,2022-11-20
Gotland,1.024869,1.000782,30,2022-11-20
Gozo,1.000023,1.0,7,2022-11-20
Greece,1.561348,0.51366,598,2022-11-20
Greenland,1.00418,1.007472,73,2022-11-20
Grenada,0.778763,2.060632,230,2022-11-20
Guadeloupe,0.571739,1.423023,247,2022-11-20
Guam,0.12664,3.518123,113,2022-11-20
Guatemala,1.466221,0.76317,504,2022-11-20
Guernsey,0.65079,0.504356,236,2022-11-20
Guinea,0.713686,0.968295,503,2022-11-20
Guinea-Bissau,0.980988,1.613822,160,2022-11-20
Guyana,1.063936,2.14525,283,2022-11-20
Haiti,1.889935,0.995161,476,2022-11-20
Hitra,1.060318,1.234594,19,2022-11-20
Honduras,1.197584,0.681931,577,2022-11-20
Hong Kong,0.374591,1.521505,406,2022-11-20
Hungary,1.953196,0.455323,968,2022-11-20
Iceland,0.953768,0.811341,483,2022-11-20
India,0.719485,1.526701,501,2022-11-20
Indonesia,1.191855,1.524073,679,2022-11-20
Iran,1.663223,0.41319,570,2022-11-20
Iraq,1.004261,0.782598,606,2022-11-20
Iraqi Kurdistan,1.001898,0.999119,27,2022-11-20
Isle of Man,1.423945,1.039743,49,2022-11-20
Isle of Wight,1.000331,0.999897,44,2022-11-20
Israel,2.367594,1.207049,466,2022-11-20
Italy,2.728902,0.41109,854,2022-11-20
Ivory Coast,1.748237,0.734355,592,2022-11-20
Jamaica,1.650685,0.723982,608,2022-11-20
Japan,3.566052,0.316744,748,2022-11-20
Jersey,2.761994,0.897369,227,2022-11-20
Jordan,1.654944,0.606761,434,2022-11-20
Kabylia,1.010279,1.05614,6,2022-11-20
Kazakhstan,1.116702,1.153811,234,2022-11-20
Kenya,1.10381,1.444326,675,2022-11-20
Kernow,1.105736,0.97192,11,2022-11-20
Kiribati,1.0,1.000037,11,2022-11-20
Kosovo,1.862971,0.977579,71,2022-11-20
Kurdistan,1.000038,0.999989,5,2022-11-20
Kuwait,0.948198,1.307041,638,2022-11-20
Kyrgyzstan,1.061878,1.294787,159,2022-11-20
Kárpátalja,1.065702,0.992555,11,2022-11-20
Laos,0.274456,3.431603,203,2022-11-20
Latvia,1.192486,0.992455,429,2022-11-20
Lebanon,0.516001,1.160879,299,2022-11-20
Lesotho,0.551598,1.474986,263,2022-11-20
Liberia,0.306304,1.493446,274,2022-11-20
Libya,0.943445,1.312122,355,2022-11-20
Liechtenstein,0.131512,2.371421,225,2022-11-20
Lithuania,0.462852,1.191003,399,2022-11-20
Luhansk PR,1.129437,1.141242,6,2022-11-20
Luxembourg,1.571098,0.914988,434,2022-11-20
Macau,0.876632,1.144163,136,2022-11-20
Madagascar,1.162612,1.893564,289,2022-11-20
Malawi,0.761733,1.285544,612,2022-11-20
Malaysia,1.019115,1.464671,793,2022-11-20
Maldives,0.648694,2.343702,212,2022-11-20
Mali,1.448277,0.29957,531,2022-11-20
Malta,1.225007,1.155464,426,2022-11-20
Martinique,0.471014,1.199301,310,2022-11-20
Matabeleland,0.9963,1.047606,8,2022-11-20
Mauritania,0.96614,0.871402,236,2022-11-20
Mauritius,0.305041,2.711124,300,2022-11-20
Mayotte,0.989648,1.006095,36,2022-11-20
Menorca,1.010718,0.998685,21,2022-11-20
Mexico,2.474558,0.43024,943,2022-11-20
Micronesia,1.0,1.0,7,2022-11-20
Moldova,0.989599,1.414609,265,2022-11-20
Monaco,0.998486,0.998649,24,2022-11-20
Mongolia,0.206321,1.634503,90,2022-11-20
Montenegro,1.290782,0.76062,135,2022-11-20
Montserrat,1.271573,1.953155,48,2022-11-20
Morocco,2.349739,0.42344,559,2022-11-20
Mozambique,0.716193,0.993129,336,2022-11-20
Myanmar,0.337812,3.522236,478,2022-11-20
Namibia,0.784577,0.800304,247,2022-11-20
Nepal,0.585934,2.513764,240,2022-11-20
Netherlands,3.712917,0.38226,834,2022-11-20
New Caledonia,0.256285,2.000443,249,2022-11-20
New Zealand,1.600163,0.509066,383,2022-11-20
Nicaragua,1.072819,1.046824,188,2022-11-20
Niger,0.834428,1.980155,229,2022-11-20
Nigeria,1.262735,0.856787,613,2022-11-20
North Korea,1.03191,1.266295,372,2022-11-20
North Macedonia,1.335434,0.739892,271,2022-11-20
North Vietnam,1.0,1.0,24,2022-11-20
Northern Cyprus,1.085167,0.988323,34,2022-11-20
Northern Ireland,1.405941,0.881554,673,2022-11-20
Northern Mariana Islands,0.964473,1.1245,24,2022-11-20
Norway,2.549806,0.435941,837,2022-11-20
Occitania,1.00042,0.999945,33,2022-11-20
Oman,1.206553,0.500093,491,2022-11-20
Orkney,0.973401,1.170265,21,2022-11-20
Padania,1.215122,0.98266,45,2022-11-20
Pakistan,0.1,1.565344,228,2022-11-20
Palestine,1.429366,1.396751,213,2022-11-20
Panama,2.217891,0.747466,484,2022-11-20
Panjab,1.37769,0.998278,19,2022-11-20
Papua New Guinea,0.748906,0.818805,132,2022-11-20
Paraguay,1.68588,0.428198,750,2022-11-20
Peru,2.767183,0.284472,678,2022-11-20
Philippines,0.540555,2.128021,305,2022-11-20
Poland,2.322536,0.553271,851,2022-11-20
Portugal,3.739271,0.231137,650,2022-11-20
Provence,1.000193,1.0,23,2022-11-20
Puerto Rico,1.195163,0.60737,134,2022-11-20
Qatar,2.001761,0.581407,582,2022-11-20
Raetia,1.787874,1.823622,24,2022-11-20
Republic of Ireland,1.883914,0.590602,597,2022-11-20
Rhodes,1.0,1.0,18,2022-11-20
Romani people,1.000033,1.001859,7,2022-11-20
Romania,1.39781,0.825256,727,2022-11-20
Russia,1.713768,0.488912,723,2022-11-20
Rwanda,0.565578,0.67922,255,2022-11-20
Réunion,1.051067,0.937362,120,2022-11-20
Saare County,1.010079,1.008421,35,2022-11-20
Saarland,1.0,1.0,9,2022-11-20
Saint Barthélemy,1.069559,1.113831,8,2022-11-20
Saint Kitts and Nevis,0.801579,2.035409,192,2022-11-20
Saint Lucia,0.441725,1.559338,205,2022-11-20
Saint Martin,0.140782,1.522937,50,2022-11-20
Saint Pierre and Miquelon,0.999992,1.000118,7,2022-11-20
Saint Vincent and the Grenadines,0.66989,3.499522,205,2022-11-20
Samoa,0.959073,1.430757,57,2022-11-20
San Marino,0.154694,2.183053,190,2022-11-20
Saudi Arabia,1.16559,0.274587,681,2022-11-20
Scotland,1.868226,0.543311,814,2022-11-20
Sealand,1.00023,1.000117,12,2022-11-20
Senegal,1.628517,0.663248,589,2022-11-20
Serbia,4.019796,0.410417,308,2022-11-20
Seychelles,0.308684,2.921115,159,2022-11-20
Shetland,0.984613,1.183293,51,2022-11-20
Sierra Leone,0.675695,1.821285,274,2022-11-20
Silesia,1.0,1.0,8,2022-11-20
Singapore,0.812211,2.110058,657,2022-11-20
Sint Maarten,0.790258,2.334438,40,2022-11-20
Slovakia,1.527471,0.805412,328,2022-11-20
Slovenia,2.023717,0.542212,277,2022-11-20
Solomon Islands,1.030471,2.184777,187,2022-11-20
Somalia,0.399266,2.231886,108,2022-11-20
Somaliland,1.027395,1.125051,6,2022-11-20
South Africa,1.34832,0.747439,430,2022-11-20
South Korea,2.627982,0.534059,962,2022-11-20
South Ossetia,1.180013,1.110077,17,2022-11-20
South Sudan,0.611639,1.674723,53,2022-11-20
Spain,3.497649,0.331745,738,2022-11-20
Sri Lanka,0.436368,2.437891,230,2022-11-20
Sudan,0.628613,1.428929,436,2022-11-20
Suriname,1.115707,1.105254,370,2022-11-20
Sweden,2.464892,0.505917,1064,2022-11-20
Switzerland,2.305459,0.52085,841,2022-11-20
Syria,0.848324,0.958587,445,2022-11-20
Székely Land,1.067537,1.284058,25,2022-11-20
Sápmi,1.000258,1.229858,28,2022-11-20
São Tomé and Príncipe,0.493072,6.153997,55,2022-11-20
Tahiti,0.460585,1.370207,225,2022-11-20
Taiwan,0.446133,2.265352,222,2022-11-20
Tajikistan,0.70388,0.463033,168,2022-11-20
Tamil Eelam,0.992725,1.106603,22,2022-11-20
Tanzania,0.76922,1.241429,562,2022-11-20
Thailand,1.047863,0.758788,811,2022-11-20
Tibet,1.792329,1.839875,17,2022-11-20
Timor-Leste,0.27541,4.72367,70,2022-11-20
Togo,1.183459,1.29484,420,2022-11-20
Tonga,0.887008,1.657217,60,2022-11-20
Trinidad and Tobago,1.063911,1.336224,705,2022-11-20
Tunisia,2.132648,0.407179,629,2022-11-20
Turkey,2.809399,0.805865,603,2022-11-20
Turkmenistan,0.658639,1.678744,156,2022-11-20
Turks and Caicos Islands,0.803533,5.307165,38,2022-11-20
Tuvalu,0.825538,2.083552,35,2022-11-20
USA,2.499664,0.312573,732,2022-11-20
Uganda,0.694261,1.07044,653,2022-11-20
Ukraine,1.978305,0.553212,301,2022-11-20
United Arab Emirates,1.423579,0.932027,568,2022-11-20
United Koreans in Japan,0.999602,0.981454,12,2022-11-20
United States Virgin Islands,0.35011,2.479342,62,2022-11-20
Uruguay,3.765255,0.235673,928,2022-11-20
Uzbekistan,1.912878,0.638364,311,2022-11-20
Vanuatu,0.486763,1.688187,189,2022-11-20
Vatican City,1.006801,1.007062,7,2022-11-20
Venezuela,2.424344,0.536402,423,2022-11-20
Vietnam,1.387604,0.666501,254,2022-11-20
Vietnam Republic,1.0,1.0,195,2022-11-20
Wales,1.887668,0.501835,689,2022-11-20
Wallis Islands and Futuna,1.0,1.0,24,2022-11-20
Western Armenia,1.116597,1.006144,16,2022-11-20
Western Australia,1.0,1.0,32,2022-11-20
Western Isles,0.9773,1.208322,28,2022-11-20
Western Sahara,1.000016,1.000124,9,2022-11-20
Yemen,0.1,2.394066,244,2022-11-20
Yemen DPR,1.0,1.0,25,2022-11-20
Ynys Môn,1.156935,0.948483,61,2022-11-20
Yorkshire,1.224871,1.062911,7,2022-11-20
Yugoslavia,1.0,1.0,483,2022-11-20
Zambia,1.643752,1.397405,758,2022-11-20
Zanzibar,1.007415,1.00389,205,2022-11-20
Zimbabwe,0.610804,1.116826,470,2022-11-20
Åland Islands,1.002122,0.996596,47,2022-11-20
