team,alpha_attack,beta_defense,matches_used,as_of_date
Cayman Islands,0.269313,2.607648,99,2022-11-20
Central African Republic,0.701479,1.810981,113,2022-11-20
Chad,0.887455,2.369931,115,2022-11-20
Chagos Islands,0.973076,1.456737,16,2022-11-20
Chameria,1.090122,0.97946,5,2022-11-20
Chile,1.631579,0.53468,798,2022-11-20
China,1.322722,0.76681,669,2022-11-20
Colombia,4.143461,0.289763,596,2022-11-20
Comoros,0.97913,1.234808,108,2022-11-20
Congo,0.833635,1.838119,390,2022-11-20
Cook Islands,0.098679,1.634066,44,2022-11-20
Corsica,0.986864,1.012496,9,2022-11-20
Costa Rica,1.843373,0.41052,674,2022-11-20
County of Nice,0.987629,1.013823,9,2022-11-20
Crimea,0.986794,1.013383,5,2022-11-20
Croatia,2.752525,0.423381,352,2022-11-20
Cuba,1.159222,1.314371,365,2022-11-20
Curaçao,1.084855,1.393402,351,2022-11-20
Cyprus,0.71696,1.226517,391,2022-11-20
Czech Republic,2.520693,0.625423,323,2022-11-20
Czechoslovakia,0.986794,1.013383,520,2022-11-20
DR Congo,0.958876,0.859493,479,2022-11-20
Darfur,0.986696,1.014921,7,2022-11-20
Denmark,3.039939,0.367692,833,2022-11-20
Djibouti,0.541801,3.814868,95,2022-11-20
Dominica,0.370267,2.091797,194,2022-11-20
Dominican Republic,1.093006,1.557396,126,2022-11-20
Donetsk PR,0.98916,1.01311,6,2022-11-20
Ecuador,1.725314,0.246919,549,2022-11-20
Egypt,1.407292,0.455371,709,2022-11-20
El Salvador,1.11826,0.847345,571,2022-11-20
Ellan Vannin,1.016838,1.01924,22,2022-11-20
England,2.811708,0.457837,1044,2022-11-20
Equatorial Guinea,0.841302,0.888221,142,2022-11-20
Eritrea,0.959178,1.110724,71,2022-11-20
Estonia,1.220326,0.84152,512,2022-11-20
Eswatini,1.057855,1.242942,247,2022-11-20
Ethiopia,1.091866,1.49985,383,2022-11-20
Falkland Islands,0.982512,1.031699,29,2022-11-20
Faroe Islands,0.917467,1.117413,254,2022-11-20
Felvidék,0.984925,1.012292,12,2022-11-20
Fiji,0.675136,1.526888,241,2022-11-20
Finland,1.447836,0.698802,781,2022-11-20
France,3.015415,0.407926,888,2022-11-20
French Guiana,1.322246,0.891907,163,2022-11-20
Frøya,0.992296,1.038526,30,2022-11-20
Gabon,1.349429,0.867012,373,2022-11-20
Galicia,0.986865,1.013184,11,2022-11-20
Gambia,0.706614,0.762306,237,2022-11-20
Georgia,1.743118,0.666289,270,2022-11-20
German DR,0.986794,1.013383,298,2022-11-20
Germany,2.961081,0.514713,988,2022-11-20
Ghana,1.109956,0.523022,632,2022-11-20
Gibraltar,0.607618,1.687034,127,2022-11-20
Gotland,1.011335,1.014175,30,2022-11-20
Gozo,0.986817,1.013383,7,2022-11-20
Greece,1.540728,0.520534,598,2022-11-20
Greenland,0.990919,1.020955,73,2022-11-20
Grenada,0.768478,2.088209,230,2022-11-20
Guadeloupe,0.564189,1.442068,247,2022-11-20
Guam,0.124968,3.565206,113,2022-11-20
Guatemala,1.446858,0.773384,504,2022-11-20
Guernsey,0.642195,0.511105,236,2022-11-20
Guinea,0.704261,0.981254,503,2022-11-20
Guinea-Bissau,0.968033,1.63542,160,2022-11-20
Guyana,1.049885,2.17396,283,2022-11-20
Haiti,1.864976,1.008479,476,2022-11-20
Hitra,1.046315,1.251116,19,2022-11-20
Honduras,1.181768,0.691058,577,2022-11-20
Hong Kong,0.369644,1.541867,406,2022-11-20
Hungary,1.927402,0.461417,968,2022-11-20
Iceland,0.941173,0.822199,483,2022-11-20
India,0.709984,1.547132,501,2022-11-20
Indonesia,1.176115,1.54447,679,2022-11-20
Iran,1.641259,0.418719,570,2022-11-20
Iraq,0.990998,0.793071,606,2022-11-20
Iraqi Kurdistan,0.988667,1.01249,27,2022-11-20
Isle of Man,1.40514,1.053658,49,2022-11-20
Isle of Wight,0.98712,1.013279,44,2022-11-20
Israel,2.336328,1.223203,466,2022-11-20
Italy,2.692864,0.416592,854,2022-11-20
Ivory Coast,1.725149,0.744183,592,2022-11-20
Jamaica,1.628886,0.733671,608,2022-11-20
Japan,3.518958,0.320983,748,2022-11-20
Jersey,2.725518,0.909378,227,2022-11-20
Jordan,1.633088,0.614881,434,2022-11-20
Kabylia,0.996937,1.070274,6,2022-11-20
Kazakhstan,1.101954,1.169253,234,2022-11-20
Kenya,1.089233,1.463655,675,2022-11-20
Kernow,1.091134,0.984927,11,2022-11-20
Kiribati,0.986794,1.01342,11,2022-11-20
Kosovo,1.838368,0.990662,71,2022-11-20
Kurdistan,0.986831,1.013372,5,2022-11-20
Kuwait,0.935676,1.324533,638,2022-11-20
Kyrgyzstan,1.047855,1.312115,159,2022-11-20
Kárpátalja,1.051628,1.005838,11,2022-11-20
Laos,0.270831,3.477528,203,2022-11-20
Latvia,1.176738,1.005737,429,2022-11-20
Lebanon,0.509187,1.176415,299,2022-11-20
Lesotho,0.544314,1.494726,263,2022-11-20
Liberia,0.302259,1.513433,274,2022-11-20
Libya,0.930986,1.329682,355,2022-11-20
Liechtenstein,0.129775,2.403158,225,2022-11-20
Lithuania,0.456739,1.206942,399,2022-11-20
Luhansk PR,1.114521,1.156515,6,2022-11-20
Luxembourg,1.550349,0.927233,434,2022-11-20
Macau,0.865055,1.159475,136,2022-11-20
Madagascar,1.147258,1.918906,289,2022-11-20
Malawi,0.751673,1.302749,612,2022-11-20
Malaysia,1.005657,1.484272,793,2022-11-20
Maldives,0.640127,2.375067,212,2022-11-20
Mali,1.42915,0.303579,531,2022-11-20
Malta,1.20883,1.170927,426,2022-11-20
Martinique,0.464794,1.215352,310,2022-11-20
Matabeleland,0.983143,1.061626,8,2022-11-20
Mauritania,0.953381,0.883064,236,2022-11-20
Mauritius,0.301013,2.747406,300,2022-11-20
Mayotte,0.976579,1.019559,36,2022-11-20
Menorca,0.99737,1.01205,21,2022-11-20
Mexico,2.441879,0.435998,943,2022-11-20
Micronesia,0.986794,1.013383,7,2022-11-20
Moldova,0.97653,1.43354,265,2022-11-20
Monaco,0.985299,1.012014,24,2022-11-20
Mongolia,0.203597,1.656378,90,2022-11-20
Montenegro,1.273736,0.770799,135,2022-11-20
Montserrat,1.25478,1.979293,48,2022-11-20
Morocco,2.318708,0.429107,559,2022-11-20
Mozambique,0.706734,1.00642,336,2022-11-20
Myanmar,0.333351,3.569374,478,2022-11-20
Namibia,0.774216,0.811015,247,2022-11-20
Nepal,0.578196,2.547406,240,2022-11-20
Netherlands,3.663884,0.387376,834,2022-11-20
New Caledonia,0.252901,2.027215,249,2022-11-20
New Zealand,1.579031,0.515878,383,2022-11-20
Nicaragua,1.058651,1.060833,188,2022-11-20
Niger,0.823408,2.006656,229,2022-11-20
Nigeria,1.24606,0.868253,613,2022-11-20
North Korea,1.018282,1.283242,372,2022-11-20
North Macedonia,1.317798,0.749794,271,2022-11-20
North Vietnam,0.986794,1.013383,24,2022-11-20
Northern Cyprus,1.070836,1.00155,34,2022-11-20
Northern Ireland,1.387374,0.893352,673,2022-11-20
Northern Mariana Islands,0.951736,1.139549,24,2022-11-20
Norway,2.516133,0.441775,837,2022-11-20
Occitania,0.987209,1.013328,33,2022-11-20
Oman,1.190619,0.506786,491,2022-11-20
Orkney,0.960546,1.185927,21,2022-11-20
Padania,1.199075,0.995811,45,2022-11-20
Pakistan,0.098679,1.586293,228,2022-11-20
Palestine,1.410489,1.415443,213,2022-11-20
Panama,2.188601,0.757469,484,2022-11-20
Panjab,1.359496,1.011638,19,2022-11-20
Papua New Guinea,0.739016,0.829763,132,2022-11-20
Paraguay,1.663616,0.433928,750,2022-11-20
Peru,2.730639,0.288279,678,2022-11-20
Philippines,0.533416,2.1565,305,2022-11-20
Poland,2.291864,0.560675,851,2022-11-20
Portugal,3.68989,0.234231,650,2022-11-20
Provence,0.986985,1.013383,23,2022-11-20
Puerto Rico,1.17938,0.615499,134,2022-11-20
Qatar,1.975325,0.589188,582,2022-11-20
Raetia,1.764263,1.848027,24,2022-11-20
Republic of Ireland,1.859034,0.598506,597,2022-11-20
Rhodes,0.986794,1.013383,18,2022-11-20
Romani people,0.986827,1.015267,7,2022-11-20
Romania,1.37935,0.8363,727,2022-11-20
Russia,1.691135,0.495455,723,2022-11-20
Rwanda,0.558109,0.68831,255,2022-11-20
Réunion,1.037186,0.949906,120,2022-11-20
Saare County,0.99674,1.021916,35,2022-11-20
Saarland,0.986794,1.013383,9,2022-11-20
Saint Barthélemy,1.055434,1.128737,8,2022-11-20
Saint Kitts and Nevis,0.790994,2.062649,192,2022-11-20
Saint Lucia,0.435891,1.580207,205,2022-11-20
Saint Martin,0.138923,1.543319,50,2022-11-20
Saint Pierre and Miquelon,0.986786,1.013502,7,2022-11-20
Saint Vincent and the Grenadines,0.661043,3.546355,205,2022-11-20
Samoa,0.946408,1.449905,57,2022-11-20
San Marino,0.152651,2.212269,190,2022-11-20
Saudi Arabia,1.150197,0.278262,681,2022-11-20
Scotland,1.843554,0.550582,814,2022-11-20
Sealand,0.987021,1.013502,12,2022-11-20
Senegal,1.607011,0.672124,589,2022-11-20
Serbia,3.96671,0.41591,308,2022-11-20
Seychelles,0.304607,2.960208,159,2022-11-20
Shetland,0.97161,1.199129,51,2022-11-20
Sierra Leone,0.666771,1.84566,274,2022-11-20
Silesia,0.986794,1.013383,8,2022-11-20
Singapore,0.801485,2.138297,657,2022-11-20
Sint Maarten,0.779822,2.36568,40,2022-11-20
Slovakia,1.507299,0.816191,328,2022-11-20
Slovenia,1.996991,0.549468,277,2022-11-20
Solomon Islands,1.016862,2.214015,187,2022-11-20
Somalia,0.393993,2.261755,108,2022-11-20
Somaliland,1.013827,1.140107,6,2022-11-20
South Africa,1.330514,0.757442,430,2022-11-20
South Korea,2.593276,0.541206,962,2022-11-20
South Ossetia,1.164429,1.124933,17,2022-11-20
South Sudan,0.603562,1.697136,53,2022-11-20
Spain,3.451459,0.336185,738,2022-11-20
Sri Lanka,0.430605,2.470517,230,2022-11-20
Sudan,0.620311,1.448052,436,2022-11-20
Suriname,1.100972,1.120046,370,2022-11-20
Sweden,2.43234,0.512688,1064,2022-11-20
Switzerland,2.275013,0.52782,841,2022-11-20
Syria,0.837121,0.971416,445,2022-11-20
Székely Land,1.053438,1.301242,25,2022-11-20
Sápmi,0.987049,1.246317,28,2022-11-20
São Tomé and Príncipe,0.48656,6.236355,55,2022-11-20
Tahiti,0.454502,1.388545,225,2022-11-20
Taiwan,0.440241,2.295669,222,2022-11-20
Tajikistan,0.694585,0.46923,168,2022-11-20
Tamil Eelam,0.979615,1.121413,22,2022-11-20
Tanzania,0.759061,1.258043,562,2022-11-20
Thailand,1.034025,0.768943,811,2022-11-20
Tibet,1.768659,1.864498,17,2022-11-20
Timor-Leste,0.271772,4.786886,70,2022-11-20
Togo,1.16783,1.312168,420,2022-11-20
Tonga,0.875294,1.679395,60,2022-11-20
Trinidad and Tobago,1.049861,1.354106,705,2022-11-20
Tunisia,2.104484,0.412628,629,2022-11-20
Turkey,2.772298,0.816649,603,2022-11-20
Turkmenistan,0.649941,1.701211,156,2022-11-20
Turks and Caicos Islands,0.792921,5.37819,38,2022-11-20
Tuvalu,0.814635,2.111436,35,2022-11-20
USA,2.466653,0.316757,732,2022-11-20
Uganda,0.685093,1.084766,653,2022-11-20
Ukraine,1.952179,0.560616,301,2022-11-20
United Arab Emirates,1.404779,0.9445,568,2022-11-20
United Koreans in Japan,0.986401,0.994589,12,2022-11-20
United States Virgin Islands,0.345486,2.512523,62,2022-11-20
Uruguay,3.71553,0.238827,928,2022-11-20
Uzbekistan,1.887616,0.646907,311,2022-11-20
Vanuatu,0.480335,1.71078,189,2022-11-20
Vatican City,0.993505,1.020539,7,2022-11-20
Venezuela,2.392327,0.543581,423,2022-11-20
Vietnam,1.369279,0.675421,254,2022-11-20
Vietnam Republic,0.986794,1.013383,195,2022-11-20
Wales,1.862739,0.508551,689,2022-11-20
Wallis Islands and Futuna,0.986794,1.013383,24,2022-11-20
Western Armenia,1.101851,1.019609,16,2022-11-20
Western Australia,0.986794,1.013383,32,2022-11-20
Western Isles,0.964393,1.224492,28,2022-11-20
Western Sahara,0.98681,1.013509,9,2022-11-20
Yemen,0.098679,2.426106,244,2022-11-20
Yemen DPR,0.986794,1.013383,25,2022-11-20
Ynys Môn,1.141656,0.961177,61,2022-11-20
Yorkshire,1.208695,1.077136,7,2022-11-20
Yugoslavia,0.986794,1.013383,483,2022-11-20
Zambia,1.622044,1.416106,758,2022-11-20
Zanzibar,0.994111,1.017325,205,2022-11-20
Zimbabwe,0.602738,1.131772,470,2022-11-20
Åland Islands,0.988888,1.009933,47,2022-11-20
